robot,run,ate_origin_trans_rmse[m],ate_origin_trans_max[m],ate_origin_rot_rmse_deg[deg],ate_origin_rot_max_deg[deg],ate_umeyama_trans_rmse[m],ate_opt_trans_rmse[m],ate_opt_trans_mean[m],ate_opt_trans_max[m],ate_opt_n_poses[count],rpe_trans_rmse[m/m],rpe_rot_rmse_deg[deg/m],final_drift_m[m],drift_pct_of_distance[%],gt_distance_m[m],duration_s[s],tracking_losses[count],relocalizations[count],loop_closures_total[count],loop_closures_true[count],loop_closures_false[count],proximity_total[count],proximity_true[count],proximity_false[count],pitch_std_deg[deg],roll_std_deg[deg],pitch_max_deg[deg],vibration_rms[m/s^2],gt_yaw_offset_deg[deg],accel_z_max[m/s^2]
Husky (differential),run01,2.9294213209443973,5.539897765948707,8.26002179991129,20.239148193630736,0.8687438870909967,0.13820794609441428,0.12880734567924612,0.38354386572129423,742,0.07782910494354582,2.377405260400873,1.3237832061517487,0.4889635098727481,270.7325146811591,757.6600000000001,0,0,0,0,0,666,631,0,8.946537569370781,6.043379545644096,34.08832190454595,2.2117051407096397,0.564992326413159,57.70746243160363
Husky (differential),run02,2.6042234940823783,4.764116361655155,7.843553761962486,26.097199116228282,1.1830206850882217,0.13461474168288642,0.12706317372465917,0.3080952761249501,750,0.07797017850958339,2.4310541658291362,1.8609712326649563,0.6847973080415504,271.75504500552756,768.06,0,0,0,0,0,670,625,0,8.804710878819295,6.152629277318456,33.942131622357564,1.9448058850973768,0.8700896599948351,47.6039302502547
Husky (differential),run03,3.0803790936866333,5.521385134189731,9.642515592680097,18.337775812372133,1.0953051496729498,0.15202284406197336,0.14256261608818357,0.3271061602074018,744,0.07592057353566896,2.2993576356530947,1.9964303444961617,0.7366069456662221,271.03061629299407,767.24,0,0,0,0,0,666,615,0,8.827350394584457,6.01091720905874,34.119915442139146,2.3027695383408893,0.719392918445185,63.56762527036126
Husky (differential),run04,2.391731200000202,4.535819726736785,9.939313589525103,20.753285939736227,1.7804633960489726,0.14475079464851662,0.13435553901816485,0.4214897581522868,764,0.08541870678880796,2.5387961277524287,1.4100247898998326,0.5172500393541419,272.6002286361241,793.4599999999999,0,0,0,0,0,689,628,0,8.913154939773506,5.971116801229109,32.771338102434456,1.9587919280420183,0.6002056380096539,50.72936935163542
Husky (differential),run05,3.3666312388193416,6.695150663989486,11.322031126439887,23.39686329153194,1.1676757113870453,0.13711459831560133,0.12502386616729605,0.5051936863373708,760,0.08074948000469573,2.391572682759687,3.0988607899317535,1.1358605514748221,272.8205311741953,776.04,0,0,0,0,0,675,609,0,8.831288670584431,5.827043009785695,32.98489068284582,1.8678497430490595,0.78005802435238,54.65144511606
Tracked,run01,5.154443048841155,8.336708046492657,10.976916744032005,27.673702125351618,1.2231924077953515,0.1667013541243392,0.15941139056971007,0.28222207597968174,565,0.0760305814385289,1.9259362568335678,4.549414518692375,1.7031478150071282,267.1180081144827,567.62,0,0,0,0,0,447,400,0,9.041450439486171,6.137816626530094,34.661291157441156,4.320121680658228,0.050971623936581646,94.88378109541378
Tracked,run02,3.9429193899550303,6.806240279887047,10.548980496117052,25.36026379067881,0.573412186904857,0.17787376294836174,0.17181145594045943,0.330585349710771,565,0.07803824499721905,1.9270557793887897,1.2781067848219327,0.47845741300622613,267.1307309863544,568.24,0,0,0,0,0,445,398,0,9.035718666639802,6.144527645993882,34.94302013168934,4.380798608593804,0.06274395843016752,63.03814482740895
Tracked,run03,3.250963823219503,5.971765115521393,10.81706354662925,28.252006675415476,0.6550486071606185,0.17667408802952259,0.17067425868781194,0.3579326515451911,565,0.0775739789452305,1.9372236580394864,1.4407650970630634,0.5393072319200921,267.1510804580752,568.1,0,0,0,0,0,444,405,0,9.048667717018208,6.14218647919281,36.51688570127304,4.459576036212961,0.04816712510298676,82.6335872783961
Tracked,run04,4.284590440125292,7.310651233693276,11.814562524181547,30.126347712549045,0.5882435139408895,0.1649268658121926,0.15849658056995367,0.33702518241703205,566,0.07658109369208724,1.8991864766450903,1.5986073233033697,0.5983706628709629,267.1600435143836,568.44,0,0,0,0,0,449,407,0,9.021806605490127,6.141286674295736,36.15237098057341,4.325644506413848,0.08016058497068715,79.01037691670585
Tracked,run05,3.9016017051121508,7.580681209822923,12.692819470829932,27.56175633563255,0.5075299434746932,0.16416908015109474,0.1575245752636196,0.3363746901830874,567,0.0779617107342447,1.9124349559476126,1.3119008864468966,0.49085368123148015,267.26923655854614,570.58,0,0,0,0,0,450,407,0,9.045844163224036,6.136543419471034,35.72113032891688,4.323015893918591,0.0905275998503308,71.119722023619
