====================================================================================================
PER-RUN RESULTS (each repetition reported separately)
====================================================================================================

Husky (differential)  (5 runs)
----------------------------------------------------------------------------------------------
Metric [unit]                            run01       run02       run03       run04       run05
----------------------------------------------------------------------------------------------
ATE translational RMSE [m]              2.9294      2.6042      3.0804      2.3917      3.3666
ATE translational max [m]               5.5399      4.7641      5.5214      4.5358      6.6952
ATE rotational RMSE [deg]                8.260       7.844       9.643       9.939      11.322
ATE rotational max [deg]                20.239      26.097      18.338      20.753      23.397
ATE trans. RMSE (aligned) [m]           0.8687      1.1830      1.0953      1.7805      1.1677
ATE optimised graph RMSE [m]            0.1382      0.1346      0.1520      0.1448      0.1371
ATE optimised graph mean [m]            0.1288      0.1271      0.1426      0.1344      0.1250
ATE optimised graph max [m]             0.3835      0.3081      0.3271      0.4215      0.5052
Optimised graph poses [count]              742         750         744         764         760
RPE translational RMSE [m/m]            0.0778      0.0780      0.0759      0.0854      0.0807
RPE rotational RMSE [deg/m]             2.3774      2.4311      2.2994      2.5388      2.3916
Final drift [m]                         1.3238      1.8610      1.9964      1.4100      3.0989
Drift / distance [%]                     0.489       0.685       0.737       0.517       1.136
Distance travelled (GT) [m]             270.73      271.76      271.03      272.60      272.82
Run duration [s]                         757.7       768.1       767.2       793.5       776.0
Tracking losses [count]                      0           0           0           0           0
Relocalizations [count]                      0           0           0           0           0
Loop closures reported [count]               0           0           0           0           0
Loop closures true pos. [count]              0           0           0           0           0
Loop closures false pos. [count]             0           0           0           0           0
Proximity detections [count]               666         670         666         689         675
Proximity true pos. [count]                631         625         615         628         609
Proximity false pos. [count]                 0           0           0           0           0
Pitch std [deg]                          8.947       8.805       8.827       8.913       8.831
Roll std [deg]                           6.043       6.153       6.011       5.971       5.827
Pitch max abs [deg]                     34.088      33.942      34.120      32.771      32.985
Vibration RMS [m/s^2]                   2.2117      1.9448      2.3028      1.9588      1.8678
GT yaw offset removed [deg]                0.6         0.9         0.7         0.6         0.8
Peak |a_z - g| [m/s^2]                 57.7075     47.6039     63.5676     50.7294     54.6514
----------------------------------------------------------------------------------------------

Tracked  (5 runs)
----------------------------------------------------------------------------------------------
Metric [unit]                            run01       run02       run03       run04       run05
----------------------------------------------------------------------------------------------
ATE translational RMSE [m]              5.1544      3.9429      3.2510      4.2846      3.9016
ATE translational max [m]               8.3367      6.8062      5.9718      7.3107      7.5807
ATE rotational RMSE [deg]               10.977      10.549      10.817      11.815      12.693
ATE rotational max [deg]                27.674      25.360      28.252      30.126      27.562
ATE trans. RMSE (aligned) [m]           1.2232      0.5734      0.6550      0.5882      0.5075
ATE optimised graph RMSE [m]            0.1667      0.1779      0.1767      0.1649      0.1642
ATE optimised graph mean [m]            0.1594      0.1718      0.1707      0.1585      0.1575
ATE optimised graph max [m]             0.2822      0.3306      0.3579      0.3370      0.3364
Optimised graph poses [count]              565         565         565         566         567
RPE translational RMSE [m/m]            0.0760      0.0780      0.0776      0.0766      0.0780
RPE rotational RMSE [deg/m]             1.9259      1.9271      1.9372      1.8992      1.9124
Final drift [m]                         4.5494      1.2781      1.4408      1.5986      1.3119
Drift / distance [%]                     1.703       0.478       0.539       0.598       0.491
Distance travelled (GT) [m]             267.12      267.13      267.15      267.16      267.27
Run duration [s]                         567.6       568.2       568.1       568.4       570.6
Tracking losses [count]                      0           0           0           0           0
Relocalizations [count]                      0           0           0           0           0
Loop closures reported [count]               0           0           0           0           0
Loop closures true pos. [count]              0           0           0           0           0
Loop closures false pos. [count]             0           0           0           0           0
Proximity detections [count]               447         445         444         449         450
Proximity true pos. [count]                400         398         405         407         407
Proximity false pos. [count]                 0           0           0           0           0
Pitch std [deg]                          9.041       9.036       9.049       9.022       9.046
Roll std [deg]                           6.138       6.145       6.142       6.141       6.137
Pitch max abs [deg]                     34.661      34.943      36.517      36.152      35.721
Vibration RMS [m/s^2]                   4.3201      4.3808      4.4596      4.3256      4.3230
GT yaw offset removed [deg]                0.1         0.1         0.0         0.1         0.1
Peak |a_z - g| [m/s^2]                 94.8838     63.0381     82.6336     79.0104     71.1197
----------------------------------------------------------------------------------------------

Rocker-bogie  (5 runs)
----------------------------------------------------------------------------------------------
Metric [unit]                            run01       run02       run03       run04       run05
----------------------------------------------------------------------------------------------
ATE translational RMSE [m]              2.5413      1.8486      2.4983      1.6134      1.5211
ATE translational max [m]               6.4719      4.6630      6.6720      3.4072      2.6881
ATE rotational RMSE [deg]                8.539       6.394       8.023       5.997       5.353
ATE rotational max [deg]                16.476      13.419      15.926      12.710      11.170
ATE trans. RMSE (aligned) [m]           1.0877      0.9307      1.3191      0.7681      0.7513
ATE optimised graph RMSE [m]            0.1671      0.1685      0.1674      0.1630      0.1654
ATE optimised graph mean [m]            0.1558      0.1577      0.1572      0.1529      0.1550
ATE optimised graph max [m]             0.3078      0.2947      0.2925      0.3025      0.2879
Optimised graph poses [count]              565         564         565         565         563
RPE translational RMSE [m/m]            0.0658      0.0655      0.0661      0.0660      0.0664
RPE rotational RMSE [deg/m]             2.0155      2.0110      1.9924      1.9749      1.9679
Final drift [m]                         5.3762      3.8812      5.2402      2.7020      2.1363
Drift / distance [%]                     2.020       1.458       1.969       1.015       0.803
Distance travelled (GT) [m]             266.17      266.19      266.12      266.10      266.10
Run duration [s]                         575.4       574.4       574.8       574.2       573.0
Tracking losses [count]                      0           0           0           0           0
Relocalizations [count]                      0           0           0           0           0
Loop closures reported [count]               0           0           0           0           0
Loop closures true pos. [count]              0           0           0           0           0
Loop closures false pos. [count]             0           0           0           0           0
Proximity detections [count]               452         452         452         451         448
Proximity true pos. [count]                405         406         406         404         403
Proximity false pos. [count]                 0           0           0           0           0
Pitch std [deg]                          8.528       8.546       8.542       8.547       8.554
Roll std [deg]                           6.105       6.087       6.096       6.086       6.090
Pitch max abs [deg]                     30.091      30.064      30.084      30.232      30.204
Vibration RMS [m/s^2]                   0.7925      0.7694      0.7727      0.7678      0.7329
GT yaw offset removed [deg]                0.2         0.1         0.2         0.2         0.2
Peak |a_z - g| [m/s^2]                 30.2467     19.8598     12.1213      7.4412      7.7863
----------------------------------------------------------------------------------------------
